ah,O 
AST,3esti 
AT,3ti 
AT&T,3tiAndti 
AT&T's,3tiAndtiz 
ATM,3ti9 
ATM's,3ti9s 
ATS,3ties 
ATs,3tis 
AWOL,3wol 
AZT,3ziti 
Aames,3mz 
Aaron,3rIn 
Abalon,Ab4lOn 
Abby,Abi 
Abdul,Abd(l 
Abe,3b 
Aberdeen,Ab^din 
Abilene,AbIlin 
About,4b5t 
Abraham,3br4hAm 
Abrams,3br4mz 
Abyss,4bIs 
Academic,Ak4d9Ik 
Academy,4kAd4mi 
Acapulco,Ak4pulk6 
Acclaim,4kl3m 
Accord,4k6rd 
According,4k6rdIG 
Accords,4k6rdz 
Accused,4ky(zd 
Acoustical,4k(stIk4l 
Act,Akt 
Actinide,AktInYd 
Action,AkSIn 
Actor,Akt^ 
Acura,Aky4r4 
Adam,Ad4m 
Adams,Ad4mz 
Addams,Ad4mz 
Adder,Ad^ 
Addison,AdIs4n 
Address,Adres 
Adelaide,Ad4l3d 
Adirondack,AdIrOndAk 
Adirondacks,AdIrOndAks 
Administration,AdmInIstr3SIn 
Admissions,AdmISInz 
Adobo,4d6b6 
Adolf,AdOlf 
Adolph's,AdOlfs 
Adopt-A-Highway,4dOpt4hYw3 
Adrian,3driIn 
Adubato,Ad(bOt6 
Adult,Ad4lt 
Advanced,AdvAnst 
Advancement,AdvAnsmInt 
Advantage,AdvAntIdy 
Adventists,Adv2tIsts 
Adventure,Adv2ty^ 
Adventures,Adv2ty^z 
Advice,AdvYs 
Advil,AdvIl 
Aerial,3ri4l 
Aerobics,4r6bIks 
Aerodyne,3r6dYn 
Aerosmith,3r6smIF 
Aerostar,3r6stOr 
Aetna,etn4 
Affair,4f3r 
Affairs,4f3rz 
Afghan,AfgAn 
Afghani,AfgAni 
Afghanistan,AfgAnIstAn 
Afghanistanis,AfgAnIstAnIs 
Africa,AfrIk4 
African,AfrIk4n 
Africans,AfrIk4nz 
Again,4g2 
Against,4g2st 
Agape,4g3p 
Agatha,Ag4F4 
Age,3dy 
Agency,3dyInsi 
Agent,3dyInt 
Agnus,Agn0s 
Aguirre,4gir4 
Aid,3d 
Aikman,Ykm4n 
Aikman's,Ykm4nz 
Ain't,3nt 
Aines,3nz 
Ainge,Andy 
Ainsley,3nzli 
Air,3r 
Aire,3r 
Airedale,3rd3l 
Aires,Ariz 
Airlines,3rlYnz 
Airplane,3rpl3n 
Airport,3rp6rt 
Airs,3rz 
Akals,4kOlz 
Akeem,4kim 
Akita,4kit4 
Akron,Akr4n 
Al,Al 
Alabama,Al4bAm4 
Alamo,Al4m6 
Alamogordo,Al4m4g6rd6 
Alamos,Al4m6s 
Alan,Al4n 
Alaska,4lAsk4 
Alaska's,4lAsk4z 
Alaskan,4lAsk4n 
Alastair,AlIst^ 
Albania,Alb3ni4 
Albany,Alb4ni 
Albequerque,Alb4k^ki 
Albert,Alb^t 
Alberta,Alb^t4 
Albertson's,Alb^ts4nz 
Albridge,olbrIdy 
Albrough,Albru6 
Albuquerque,Alb4k^ki 
Alcatraz,Alk4trAz 
Alcohol,Alk4hol 
Alda,old4 
Aldus,oldIs 
Ale,3l 
Ale's,3lz 
Alec,AlIk 
Alex,AlIks 
Alexander,AlIgzAnd^ 
Alexandria,AlIksAndri4 
Alfa,Alf4 
Alfred,AlfrId 
Alfredo's,Alfr3d6z 
Algeria,Aldyiri4 
Ali,Oli 
Alien,3liIn 
All,ol 
All-Star,olstOr 
Allah,Al4 
Allante,4lOnt3 
Allegheny,Al4g3ni 
Allen,AlIn 
Allen's,AlInz 
Allendal,AlInd3l 
Allendale,AlInd3l 
Allenstown,AlInzt5n 
Allentown,AlInt5n 
Allstate,olst3t 
Allyson,AlIs4n 
Alma,Olm4 
Almetco,olmetk6 
Alone,4l6n 
Alpert,Alp^t 
Alpha,Alf4 
Alpine,AlpYn 
Alps,Alps 
Alsatian,Als3SIn 
Alta,olt4 
Alto,Alt6 
Alton,olt2 
Altoona,Alt(n4 
Altrusa,Altr(s4 
Alvarez,Alv4rez 
Alvin,AlvIn 
Always,olw3z 
Alzheimer,olShYm^ 
Alzheimer's,olShYm^z 
Alzheimers,olShYm^z 
Am,Am 
Amaco,Am4k6 
Amanda,4mAnd4 
Amaretta,Am4ret4 
Amarillo,Am4rIl6 
Amaryllis,Am4rIlIs 
Amazing,4m3zIG 
Amdahl,OmdOl 
Amelia,4mili4 
Amendment,4m2dmInt 
America,4m^Ik4 
America's,4m^Ik4z 
American,4m^Ik4n 
Americanism,4m^Ik4nIz4m 
Americanized,4m^Ik4nYzd 
Americans,4m^Ik4nz 
Americard,4m^IkOrd 
Amguard,AmgOrd 
Amherst,Am^st 
Amiga,4mig4 
Amiga's,4mig4z 
Amigas,4mig4z 
Amin,Amin 
Amish,OmIS 
Ammon,Am4n 
Amnesty,Amnesti 
Amory's,Am6riz 
Amrein's,Amr3nz 
Amsterdam,Amst^dAm 
Amtrak,AmtrAk 
Amway,Amw3 
Amy,3mi 
Ana,On4 
Anaheim,An4hYm 
Analog,An4log 
Anatomy,4nAt4mi 
And,And 
Andean,AndiIn 
Anderson,And^s4n 
Andover,And6v^ 
Andre,Ondr3 
Andrew,Andr( 
Andrews,Andr(z 
Anduille,And(i 
Andy,Andi 
Angel,3ndy4l 
Angela,Andy4l4 
Angeles,Andy4l4s 
Angelo,Andy4l6 
Angie,Andyi 
Anglers,AGgl^z 
Anglo,AGgl6 
Anglos,AGgl6z 
Angolan,AGg6lOn 
Angora,AGg6r4 
Angry,AGgri 
Animal,AnIm4l 
Anita,4nit4 
Ann,An 
Anna,An4 
Annapolis,4nAp4lIs 
Anne,An 
Annette,4net 
Annie,Ani 
Anonymous,4nOnIm4s 
Another,4n0D^ 
Anson,Ans4n 
Answer,Ans^ 
Antarctica,AntOrktIk4 
Antares,AntAriz 
Anteks,Anteks 
Anthony,AnF4ni 
Anthony's,AnF4niz 
Antone,Ant6n 
Antonio,Ant6ni6 
Antonio's,Ant6ni6z 
Apartments,4pOrtmInts 
Apes,3ps 
Apocalypse,4pOk4lIps 
Apollo,4pOl6 
Apostle,4pOs4l 
Appalachia,Ap4l3tyi4 
Appalachian,Ap4l3tyIn 
Appalachians,Ap4l3tyInz 
Appeals,4pilz 
Appetite,ApItYt 
Apple,Ap4l 
Apple's,Ap4lz 
Applebee's,Ap4lbiz 
Apples,Ap4lz 
Appleseed,Ap4lsid 
Appliance,4plYIns 
Applied,4plYd 
April,3prIl 
Apso,Aps6 
Aquarium,4kw^i4m 
Aquinas,4kwYn4s 
Arab,Ar4b 
Arabia,4r3bi4 
Arabian,4r3biIn 
Arabians,4r3biInz 
Arabic,Ar4bIk 
Arabs,Ar4bz 
Arafat,Ar4fAt 
Aranca,4rAnk4 
Aransas,4rAnsIs 
Arapaho,4rAp4h6 
Arbor,Orb^ 
Arbuckle,Orb4k4l 
Arbuckles,Orb4k4lz 
Arby's,Orbiz 
Arc,Ork 
Arcade,Ork3d 
Arch,Orty 
Archeology,OrkiOl4dyi 
Archer,Orty^ 
Archie,Ortyi 
Arco,Ork6 
Ardmore,Ordm6r 
Are,Or 
Area,3ri4 
Arena,4rin4 
Arequipa,Or4kwIp4 
Argentina,OrdyIntin4 
Argentina's,OrdyIntin4z 
Argentine,OrdyIntin 
Argentinean,OrdyIntIniIn 
Aries,3riz 
Arizona,ArIz6n4 
Arizona's,ArIz6n4z 
Ark,Ork 
Arkansas,Ork4nso 
Arlene,Orlin 
Arlington,OrlIGt4n 
Arlington's,OrlIGt4n 
Armageddon,Orm4ged2 
Armenia,Ormini4 
Armenian,OrminiIn 
Armenians,OrminiInz 
Armey,Ormi 
Army,Ormi 
Army's,Ormiz 
Arnett,Ornet 
Arnold,Orn4ld 
Arnold's,Orn4ldz 
Around,4r5nd 
Arquett,Orket 
Arrow,Ar6 
Arsenio,Ors2i6 
Art,Ort 
Arthur,OrF^ 
Arthur's,OrF^z 
Artist,OrtIst 
Arts,Orts 
Aruba,4r(b4 
As,Az 
Ash,AS 
Asheville,ASvIl 
Ashley,ASli 
Ashley'll,ASli4l 
Ashville,ASvIl 
Asia,3Z4 
Asian,3ZIn 
Asians,3ZIns 
Asics,3SIks 
Asimov,AzImov 
Asimov's,AzImovz 
Asleep,4slip 
Aspen,Asp4n 
Assisi,4sisi 
Assistance,4sIstIns 
Assistant,4sIstInt 
Associates,4s6si3ts 
Association,4s6si3SIn 
Astaire,4st3r 
Astonia,4st6ni4 
Astro,Astr6 
Astrodome,Astr4d6m 
Astros,Astr6z 
At,At 
Atari,4tOri 
Atchafalaya,Aty4f4lY4 
Atchafalaya's,Aty4f4lY4z 
Athlete,AFlit 
Atlanta,AtlAnt4 
Atlanta's,AtlAnt4z 
Atlantic,AtlAntIk 
Attenborough,At2b^r6 
Attica,AtIk4 
Attleboro,At7b^r6 
Attorney,4t^ni 
Attraction,4trAkSIn 
Aubrey,obri 
Auburn,ob^n 
Audelia,od7i4 
Audi,5di 
Audi's,5diz 
Audiology,odiOl4dyi 
Audis,5diz 
Audrey,odri 
Auel,5l 
Augmon,ogm4n 
Augmon's,ogm4nz 
August,og0st 
Augusta,og0st4 
Augustine,og0stIn 
Austen,ostIn 
Austin,ostIn 
Austin's,ostInz 
Australia,ostr3ly4 
Australian,ostr3lyIn 
Australians,ostr3lyInz 
Austria,ostri4 
Austrian,ostriIn 
Authors,oF^z 
Auto,ot6 
AutoCAD,ot6kAd 
Autry,otri 
Avalon,Av4lOn 
Avenue,Av4n( 
Avery,Av4ri 
Avia,4vi4 
Avis,3vIs 
Avon,AvOn 
Awakening,4w3k4nIG 
Awakenings,4w3k4nIGz 
Award,4w6rd 
Awards,4w6rdz 
Away,4w3 
Ayatollah,Y4tOl4 
Azerbaijanis,Az^bYdyOniz 
B,YZOniz 
B's,biz 
B2,bit( 
B6,bisIks 
BART,bOrt 
BART's,bOrts 
BB,bibi 
BBC,bibisi 
BBC's,bibisiz 
BBS,bibies 
BBs,bibis 
BEOG,bii6dyi 
BG's,bidyiz 
BLY,bi7wY 
BMW,bi9d0b4ly( 
BMW's,bi9d0b4ly(z 
BMWs,bi9d0b4ly(z 
BP,bipi 
BS,bies 
BSNs,bies2s 
BSing,biesIG 
BU,biy( 
BVD,bividi 
BVI,biviY 
BVR,biviOr 
BWI,bid0b4ly(Y 
BYU,biwYy( 
Baba,bOb4 
Babe,b3b 
Babies,b3biz 
Baby,b3bi 
Babydoe,b3bid6 
Babysitting,b3bisItIG 
Bach,bOk 
Bach's,bOks 
Bachelor,bAty4l^ 
Bachelor's,bAty4l^z 
Bachman,bOkm4n 
Bacillus,b4sIl4s 
Back,bAk 
Backdraft,bAkdrAft 
Bad,bAd 
Bagdad,bAgdAd 
Baggio,bAgi6 
Baghdad,bAgdAd 
Bahama,b4hOm4 
Bahamas,b4hOm4z 
Bahia,b4hi4 
Bahr,bOr 
Bailey,b3li 
Baja,bOhO 
Baked,b3kt 
Baker,b3k^ 
Bakersfield,b3k^zfild 
Bakker,b3k^ 
Balance,bAl4ns 
Baldwin,boldwIn 
Ballad,bAl4d 
Ballet,bAl3 
Ballum,bAl4m 
Baltic,boltIk 
Baltics,boltIks 
Baltimore,boltIm6r 
Baltimore'll,boltIm6r4l 
Baltimore's,boltIm6rz 
Bamba,bOmb4 
Bambi,bAmbi 
Bamburger's,bAmb^g^z 
Ban,bAn 
Band,bAnd 
Band-Aid,bAnd3d 
Bandit,bAndIt 
Banff,bAnf 
Bangladesh,bAGgl4deS 
Bank,bAGk 
Banned,bAnd 
Banner,bAn^ 
Bap,bAp 
Baptist,bAptIst 
Baptists,bAptIsts 
Bar,bOr 
Barb,bOrb 
Barbados,bOrb3d6s 
Barbara,bOrb4r4 
Barbecue,bOrb4ky( 
Barbie,bOrbi 
Barbies,bOrbiz 
Barcelona,bOrs4l6n4 
Barden,bOrd2 
Bare,b3r 
Bargello,bOrdy76 
Barker,bOrk^ 
Barney,bOrni 
Baron,bAr4n 
Baroque,b4r6k 
Barrier,bAri^ 
Barrio,bAri6 
Barron,bArIn 
Barron's,bArInz 
Barry,bAri 
Bart,bOrt 
Barthelme,bOrF7mi 
Bartlett,bOrtlIt 
Bartman,bOrtmAn 
Base,b3s 
Baseball,b3sbol 
Basic,b3sIk 
Basin,b3sIn 
Basinger,bAzIndy^ 
Basque,bAsk 
Bass,bAs 
Basset,bAsIt 
Bastard,bAst^d 
Bastrop,bAstr4p 
Bates,b3ts 
Batman,bAtmAn 
Baton,bAt2 
Battle,bAt7 
Baudelaire,b6d4l3r 
Bauhaus,b5h5s 
Bausch,boS 
Bavarian,b4v^iIn 
Baxter,bAkst^ 
Bay,b3 
Bayfield,b3fild 
Bayless,b3lIs 
Bayliner,b3lYn^ 
Baylor,b3l^ 
Baylor's,b3l^z 
Bazaar,b4zOr 
Bazo,b3z6 
Be,bi 
Beach,bity 
Beaches,bityIz 
Beagle,big4l 
Bean,bin 
Bean's,binz 
Beaner,bin^ 
Bear,b3r 
Beard's,birdz 
Bears,b3rz 
Beast,bist 
Beatle,bit7 
Beatles,bit7z 
Beatty,b3ti 
Beaumont,b6mOnt 
Beauregard,b6r4gOrd 
Beautiful,by(tIf4l 
Beauty,by(ti 
Beaver,biv^ 
Beavers,biv^z 
Bebble,beb4l 
Becca,bek4 
Becky,beki 
Been,bIn 
Bees,biz 
Beethoven,b3t6v4n 
Beethoven's,b3t6v4nz 
Beetle,bit7 
Beetlejuice,bit7dy(s 
Before,b4f6r 
Begajah,b4gOdy4 
Beginning,b4gInIG 
Behavioral,b4h3vy4r4l 
Beijing,b3dyIG 
Being,biIG 
Beirut,b3r(t 
Bel-Air,b73r 
Belcher,b7ty^ 
Belev,b74v 
Belgian,b7dyIn 
Belgians,b7dyInz 
Belgium,b7dy4m 
Belize,b7iz 
Bell,b7 
Bellcore,b7k6r 
Belle,b7 
Belorussia,b4l6r0S4 
Belt,b7t 
Beltin,b7tIn 
Beltline,b7tlYn 
Belton,b7tIn 
Beltway,b7tw3 
Belva,b7v4 
Bemerton,b9^t4n 
Ben,b2 
Benadryl,b24drIl 
Bench,b2ty 
Benchley,b2tyli 
Bend,b2d 
Bendix,b2dIks 
Benedict,b2IdIkt 
Bengals,b2ggolz 
Benihana's,b2IhOn4z 
Benji,b2dyi 
Bennett,b2It 
Bennie,b2i 
Bennigan's,b2Ig4nz 
Bennington,b2IGt4n 
Benny,b2i 
Benny's,b2iz 
Benson,b2s4n 
Bent,b2t 
Bentsen,b2sIn 
Benyak,b2yOk 
Benz,b2z 
Benzes,b2zIz 
Beret,b4r3 
Beretta,b4ret4 
Bergen,b^g4n 
Berkeley,b^kli 
Berkner,b^kn^ 
Berle,b^l 
Berlin,b^lIn 
Bermuda,b^my(d4 
Bermuda's,b^my(d4z 
Bern,b^n 
Bernardino,b^nOrdin( 
Bernards,b^nOrdz 
Berne,b^n 
Bernie,b^ni 
Bernie's,b^niz 
Berry,b^i 
Berry's,b^iz 
Bertinelli,b^tIn7i 
Best,best 
Beta,b3t4 
Beth,beF 
Bethany,beF4ni 
Bethesda,b4Fezd4 
Bette,bet 
Better,bet^ 
Betty,beti 
Beuerlein,b8^lYn 
Beuerlein's,b8^lYnz 
Bev,bev 
Beverage,bev4rIdy 
Beverly,bev^li 
Bewitched,b4wItyt 
Bible,bYb4l 
Bible's,bYb4lz 
Biblical,bIblIk4l 
Bic,bIk 
Bichon,biSon 
Bichons,biSonz 
Bicyclist,bYsIklIst 
Biejo,b3dy6 
Biffin's,bIfInz 
Big,bIg 
Bighorns,bIgh6rnz 
Bill,bIl 
Bill's,bIlz 
Billings,bIlIGz 
Bills,bIlz 
Billy,bIli 
Biloxi,bIloksi 
Bim,bIm 
Bin,bIn 
Binders,bYnd^z 
Binds,bYndz 
Bing,bIG 
Biraporetti's,bIr4p4retiz 
Bird,b^d 
Bird's,b^dz 
Birds,b^dz 
Birkner,b^kn^ 
Birmingham,b^mIG4m 
Birthday,b^Fd3 
Bishu,bIS( 
Bison,bYs4n 
Bisquick,bIskwIk 
Bit,bIt 
Bittel,bIt7 
Bitter,bIt^ 
Biz,bIz 
Bizmart,bIzmOrt 
Black,blAk 
Black-Eyed,blAkYd 
Blackening,blAk4nIG 
Blackfoot,blAkfut 
Blackman,blAkm4n 
Blacks,blAks 
Blacksburg,blAksb^g 
Blackwoods,blAkwudz 
Blair,bl3r 
Blake,bl3k 
Blanchard,blAnty^d 
Blanche,blAnty 
Blanco,blAGk6 
Blaze,bl3z 
Blazer,bl3z^ 
Blazers,bl3z^z 
Blazey,bl3zi 
Blazing,bl3zIG 
Bless,bles 
Bleu,bl( 
Bliss,blIs 
Blitzer,blIts^ 
Blob,blOb 
Block,blOk 
Blockbuster,blOkb0st^ 
Blockbuster's,blOkb0st^z 
Blockbusters,blOkb0st^z 
Blocks,blOks 
Blondie,blOndi 
Blood,bl0d 
Bloom,bl(m 
Blooming,bl(mIG 
Bloopers,bl(p^z 
Blossom,blOs4m 
Blow,bl6 
Blow's,bl6z 
Blue,bl( 
Blues,bl(z 
Bly,blY 
Blythe,blYD 
Bo,b6 
Bo's,b6z 
Board,b6rd 
Boardwalk,b6rdwok 
Boat,b6t 
Bob,bOb 
Bobbie,bObi 
Bobby,bObi 
Bobrank,b6brAGk 
Bobsy,bObzi 
Boca,b6k4 
Bodies,bOdiz 
Body,bOdi 
Boeing,b6IG 
Bogart's,b6gOrts 
Bohemian,b6himiIn 
Boilermaker,b8l^m3k^ 
Boise,b8zi 
Bold,b6ld 
Bolivia,b4lIvi4 
Bollfield,bolfild 
Bolshevik,b6lS4vIk 
Bolton,b6lt2 
Bombay,bOmb3 
Bombay's,bOmb3z 
Bombeck,bombek 
Bombeck's,bombeks 
Bombecks,bombeks 
Bon,bOn 
Bonaducci,b6n4d(tyi 
Bonanza,b4nAnz4 
Bond,bOnd 
Bonds,bOndz 
Bones,b6nz 
Bonfire,bOnfYr 
Bonham,bOn4m 
Bonilla,b4nIl4 
Bonneville,bOn4vIl 
Bonnie,bOni 
Bonny,bOni 
Bonzo,bOnz6 
Book,buk 
Books,buks 
Booksellers,buks7^z 
Bookstop,blOs4m 
Boom,b(m 
Boozier,b(zi^ 
Borden,b6rdIn 
Border,b6rd^ 
Borger,b6rg^ 
Boris,b6rIs 
Born,b6rn 
Bosch,bOS 
Boss,bos 
Boston,bostIn 
Boston's,bostInz 
Bostonian,bost6niIn 
Botanical,b4tAnIk4l 
Bottom,bOt4m 
Boulder,b6ld^ 
Boule,b(l 
Boulevard,bul4vOrd 
Bounce,b5ns 
Bounces,b5nsIz 
Boundary,b5nd4ri 
Bountiful,b5ntIf4l 
Bourne,b6rn 
Bow,b5 
Bowden,b5d2 
Bowdoin,b6d2 
Bowes,b6z 
Bowie,b5i 
Bowie's,b6iz 
Bowl,b6l 
Bowl's,b6lz 
Bowling,b6lIG 
Bowls,b6lz 
Bows,b6z 
Box,bOks 
Boy,b8 
Boys,b8z 
Brackman,brAkm4n 
Brackman's,brAkm4nz 
Brad,brAd 
Bradford,brAdf^d 
Bradford's,brAdf^dz 
Bradley,brAdli 
Bradshaw,brAdSo 
Bradshaw's,brAdSoz 
Bradstreet,brAdstrit 
Brady,br3di 
Brahms,brOmz 
Brakes,br3ks 
Bramalea,brOm4li 
Bran,brAn 
Branch,brAnty 
Brand,brAnd 
Brandeis,brAndYs 
Brando,brAnd6 
Braniff,brAnIf 
Brannigan,brAnIg4n 
Branson,brAns4n 
Braun,bron 
Braunfels,bronf7z 
Braunsfel,br5nzf4l 
Brave,br3v 
Braves,br3vz 
Brazil,br4zIl 
Brazilian,br4zIlyIn 
Brazos,brOz6s 
Break,br3k 
Breaking,br3kIG 
Breckenridge,brekInrIdy 
Breeze,briz 
Brennan's,br2Inz 
Brent,br2t 
Brett,bret 
Breun,br(n 
Brewers,brurz 
Brewery,bruri 
Breyiana,breyOn4 
Brian,brYIn 
Brian's,brYInz 
Brianna,briOn4 
Brick,brIk 
Bride,brYd 
Bridge,brIdy 
Bridgeport,brIdyp6rt 
Bridges,brIdyIz 
Bridget,brIdyIt 
Bridgette,brIdyIt 
Brigette,brIdyIt 
Brigham,brIg4m 
Bright,brYt 
Brighton,brYt2 
Bringham,brIGhAm 
Brink,brIGk 
Brinkley,brIGkli 
Brinkley's,brIGklis 
Bristol,brIst4l 
Brit's,brIts 
Britain,brIt2 
British,brItIS 
British's,brItISIz 
Brits,brIts 
Brittany,brItIni 
Broad,brod 
Broadcasting,brodkAstIG 
Broadmoor,brodm6r 
Broadway,brodw3 
Brochco,brOtyk6 
Broderick,brOd4rIk 
Broderick's,brOd4rIks 
Brodie,br6di 
Brokaw,br6ko 
Broken,br6k4n 
Bronco,brOGk6 
Broncos,brOGk6z 
Bronoff,br6nof 
Bronx,brOGks 
Brook,bruk 
Brookhaven,brukh3v4n 
Brooklyn,bruklIn 
Brooks,bruks 
Brooks',bruksIz 
Brookshires,brukS^z 
Brooksville,bruksvIl 
Brother,br0D^ 
Brothers,br0D^z 
Broudigan,br(dIg4n 
Brougham,brum 
Brown,br5n 
Brown's,br5nz 
Brownfield,br5nfild 
Brownie,br5ni 
Brownies,br5niz 
Browns,br5nz 
Brownsville,br5nzvIl 
Brownwood,br5nwud 
Bruce,br(s 
Bruno,br(n6 
Brunswick,br0nzwIk 
Bryan,brYIn 
Bryan's,brYInz 
Bryant,brYInt 
Bryce,brYs 
Bryn,brIn 
Buccaneers,b0k4nirs 
Buchanan,by(kAnIn 
Bucket,b0kIt 
Bucknell,b0kn4l 
Buckner,b0kn^ 
Bucks,b0ks 
Bud's,b0dz 
Buddy,b0di 
Budget,b0dyIt 
Buechele,by(s7i 
Bueno,bw3n6 
Bueno's,bw3n6z 
Buenos,bw3n4s 
Buffalo,b0f4l6 
Buffalo's,b0f4l6z 
Bug,b0g 
Bugs,b0gz 
Bugsy,b0gzi 
Buick,by(Ik 
Buicks,by(Iks 
Building,bIldIG 
Bulb,b0lb 
Bulgaria,b4L^i4 
Bull,bul 
Bulldogs,buldogz 
Bullet,bulIt 
Bulls,bulz 
Bulow,by(l6 
Bulows,by(l6z 
Bulverde,bulv^d3 
Bum,b0m 
Bunch,b0nty 
Bundy,b0ndi 
Bundy's,b0ndiz 
Bunker,b0Gk^ 
Bunny,b0ni 
Bureau,byur6 
Burford,b^f^d 
Burger,b^g^ 
Burke,b^k 
Burkhalter,b^kholt^ 
Burlington,b^lIGt4n 
Burlington's,b^lIGt4nz 
Burmese,b^miz 
Burnette,b^net 
Burns,b^nz 
Burpee,b^pi 
Burroughs,b^r6z 
Burrows,b^r6z 
Burt,b^t 
Burton,b^t2 
Burton's,b^t2z 
Bury,b^i 
Bus,b0s 
Busch,buS 
Bush,buS 
Bush's,buSIz 
Bushel,buS4l 
Business,bIznIs 
Buster's,b0st^z 
But,b0t 
Butcher's,buty^z 
Butkis,b0tkIs 
Butler,b0tl^ 
Butte,by(t 
Buttercup,b0t^k0p 
Butterfly,b0t^flY 
Buy,bY 
Byron,bYr4n 
Byte,bYt 
Byzantine,bIzIntYn 
C,si 
C's,sis 
C-SPAN,sispAn 
C-SPANs,sispAns 
CAD,kAd 
CAM,kAm 
CAT,kAt 
CB,sibi 
CBS,sibies 
CC's,sisis 
CCC,sisisi 
CD,sidi 
CD's,sidiz 
CDC,sidisi 
CDs,sidiz 
CEO,sii6 
CEO's,sii6 
CEOs,sii6z 
CET,siiti 
CFC,siefsi 
CFC's,siefsiz 
CFCs,siefsiz 
CHiPs,tyIps 
CIA,siY3 
CMU,si9y( 
CNBC,si2bisi 
CNC,si2si 
CNN,si22 
CNN's,si22z 
COBRA,k6br4 
CODA,k6d4 
COTR,si6tiOr 
CPA,sipi3 
CPA's,sipi3z 
CPI,sipiY 
CPR,sipiOr 
CPU,sipiy( 
CRX,siOreks 
CRX's,siOreksIz 
CSI,siesY 
CV,sivi 
CVC,sivisi 
CWA,sid0b4ly(3 
Caan,kOn 
Cab,kAb 
Cabbage,kAbIdy 
Cabinet,kAbInIt 
Cable,k3b4l 
Cabriolets,kAbri4l3z 
Cactus,kAktIs 
Caddo,kAd6 
Cadillac,kAdIlAk 
Cadillacs,kAdIlAks 
Caesar,siz^ 
Caesar's,siz^z 
Cafe,kAf3 
Cafeteria,kAf4tiri4 
Cage,k3dy 
Cagney,kAgni 
Cairn,k3rn 
Cajun,k3dyIn 
Cal,kAl 
Cal's,kAls 
Calais,kAl3 
Calcutta,kAlk0t4 
Calgary,kAL4ri 
California,kAlIf6rny4 
California's,kAlIf6rny4z 
Californian,kAlIf6rnyIn 
Californians,kAlIf6rnyInz 
Call,kol 
Callaway's,kol4w3z 
Called,kold 
Callie,kAli 
Calling,kolIG 
Calloway's,kAl4w3z 
Callus,kAlIs 
Calucci,k4l(tyi 
Camaro,k4m^6 
Cambodia,kAmb6di4 
Cambodians,kAmb6diInz 
Cambridge,k3mbrIdy 
Camelot,kAm4lOt 
Cameron,kAm4r4n 
Cameron's,kAm4r4nz 
Cameroon,kAm4r(n 
Camgonias,kAmg6ni4z 
Cammy,kAmi 
Camp,kAmp 
Campari's,k4mpOriz 
Campbell,kAmb4l 
Campbells,kAmb4lz 
Campinas,kAmpin4s 
Camps,kAmps 
Camry,kAmri 
Camrys,kAmriz 
Can,kAn 
Canada,kAnId4 
Canada's,kAnId4z 
Canadian,k4n3diIn 
Canadians,k4n3diInz 
Canal,k4nAl 
Canaveral,k4nAv4r4l 
Cancun,kAnk(n 
Candace,kAndIs 
Candelaria,kAnd4lAri4 
Candice,kAndIs 
Candler,kAndl^ 
Candles,kAnd4lz 
Candlestick,kAnd4lstIk 
Candy,kAndi 
Caney,k3ni 
